16PF||Personality factor questionnaire
17KGS||17
17KGS||17
17KGS||17
3DI||Developmental, dimensional and diagnostic interview
45X0||Turner's syndrome
45XO||Turner's syndrome
6MWT||6 minute walk test
6PTS||6
A1||Atropine sulfate 1% drops
A1||Atropine sulphate 1% drops
AA||Accommodative amplitude
AA||Alcohol abuse
AA||Alopecia areata
AA||Amino acid
AA||Amino acid intake
AA||Amino acid requirement
AA||Amino acid supplementation
AA||Aortic aneurysm
AA||Aortic arch
AA||Arachidonic acid
AA||Ascending aorta
AA||Attendance allowance
AA||Modified amino acid diet
AA||Recommended amino acid intake
AA||arachidonic acid
AAA||Abdominal aortic aneurysm
AAA||Abdominal aortic aneurysm without mention of rupture
AAA||Drainage of acute apical abscess
AAA||Repair of abdominal aortic aneurysm using bifurcation graft
AAA||Repair of abdominal aortic aneurysm using straight graft
AAC||acute angle closure
AACG||Acute angle closure glaucoma
AACTG||Adult AIDS Clinical Trial Group
AAF||altered auditory feedback
AAFB||Acid and alcohol
AAGA||accidental awareness under general anaesthesia
AAGA||accidental awareness under general anesthesia
AAION||arteritic anterior ischaemic optic neuropathy
AAION||arteritic anterior ischemic optic neuropathy
AAMD||Age related macular degeneration
AAMI||Age
AAOOR||Acute annular occult outer retinopathy
AAOR||acute annular outer retinopathy
AAQ||Anorexia attitudes questionnaire
AAS||Atlantoaxial subluxation
AAT||Aachen aphasia test
AAT||Abnormal adaptation at threshold test
AAU||acute anterior uveitis
ABC||Aneurysmal bone cyst
ABF||Aortobifemoral graft
ABG||Aortic bifurcation graft
ABG||Aortobifemoral graft
ABG||Arterial blood gas analysis
ABI||Arterial pressure index
ABK||Aphakic bullous keratopathy
ABLB||Alternate binaural loudness balance test
ABM||Alveolar basement membrane antibody
ABMT||Autologous bone marrow transplant
ABMab||Alveolar basement membrane antibody
ABP||Arterial blood pressure
ABPA||Allergic bronchopulmonary aspergillosis
ABPI||Ankle brachial pressure index
ABR||Auditory brainstem response audiometry
ABS||Acute brain syndrome
ABS||Affect balance scale
ABS||Anorexic behavior scales
ABS||Anorexic behaviour scales
ABT||Autologous blood transfusion
ABiMVPS||arrhythmogenic bileaflet mitral valve prolapse syndrome
AC||Air conduction
AC||Alternating current
AC||Anterior chamber
AC||Anterior chamber depth
AC||Anterior chamber observation
AC||Anterior colporrhaphy
AC||Ascending colon
AC||Pure tone audiometry
ACA||Anterior cerebral artery
ACA||Cardiolipin antibody
ACA||anterior cerebral artery dissection
ACADS||short chain acyl
ACBT||Active cycle of breathing technique
ACC||Agenesis of corpus callosum
ACC||Aplasia cutis congenita
ACD||Adult celiac disease
ACD||Adult coeliac disease
ACD||Allergic contact dermatitis
ACD||Anterior chamber depth
ACD||Automatic cardiac defibrillator procedure
ACE||Angiotensin
ACE||Antegrade colonic enema procedure
ACE||Antioxidant vitamin requirement
ACE||Antioxidant vitamin
ACE||Recommended antioxidant vitamin intake
ACF||Anterior cranial fossa
ACFS||acrocardiofacial syndrome
ACG||Angle closure glaucoma
ACG||Angle
ACHE||Acetylcholine esterase
ACIOL||anterior chamber intraocular lens implant
ACIS||Assessment of communication and interaction skill version 4.0
ACJ||Amelocemental junction of tooth
ACL||Anterior cruciate ligament
ACL||Anterior cruciate ligament deficiency
ACL||Anterior cruciate ligament rupture
ACL||Anthroponotic cutaneous leishmaniasis
ACL||Reconstruction of anterior cruciate ligament
ACL||Repair of anterior cruciate ligament
ACLA||Anti
ACM||Arnold
ACNES||Abdominal cutaneous nerve entrapment syndrome
ACNES||anterior cutaneous nerve entrapment syndrome
ACP||Acid phosphatase
ACPC||Anterior colporrhaphy and posterior colpoperineorrhaphy
ACPCP||Anterior colporrhaphy and posterior colpoperineorrhaphy
ACR||Amalgam cement restoration
ACRA||Acetylcholine receptor antibody
ACS||Activity Card Sort
ACS||Acute coronary syndrome
ACS||Anterior tibial compartment syndrome
ACS||anterior ciliary sclerotomy
ACSVBG||Aortocoronary saphenous vein bypass graft
ACSVG||Aortocoronary saphenous vein graft
ACT||Alternate cover test
ACT||activated clotting time
ACTG||AIDS Clinical Trial Group
ACTH||Adrenocorticotrophic hormone
ACTH||Adrenocorticotrophic hormone precursor
ACTH||Adrenocorticotropic hormone poisoning
ACTH||serum level
ACVG||Aortocoronary vein graft
ACVG||aortocoronary vein graft
AD||Alzheimer's disease
AD||Atopic dermatitis
AD||Autogenic drainage
AD||Autosomal dominant
ADA||Adenosine aminohydrolase deficiency
ADA||Adenosine deaminase
ADAS||Alzheimer's Disease Assessment Scale
ADAS||Alzheimer's disease assessment scale
ADC||Acquired immune deficiency syndrome dementia complex
ADD||Attention deficit disorder
ADD||Attention deficit disorder with hyperactivity
ADD||Attention deficit disorder without hyperactivity
ADEM||Acute disseminated encephalomyelitis
ADEN||Acantholytic dyskeratotic epidermal naevus
ADEN||Acantholytic dyskeratotic epidermal nevus
ADH||Alcohol dehydrogenase
ADH||Antidiuretic hormone
ADH||antidiuretic hormone
ADH||arg. vasop,serum
ADHD||Attention deficit disorder with hyperactivity
ADI||Autosomal dominant ichthyosis vulgaris
ADIONE||Delta 4
ADIONE||delta 4
ADL||Activities of daily living assessment
ADL||Index of independence in activities of daily living
ADL||Reassuring about activity of daily living
ADL||Supervision while performing activity of daily living
ADL||Supervision whilst performing activity of daily living
ADL||Support while performing an activity of daily living
ADL||Support whilst performing an activity of daily living
ADL||activity of daily living
ADM||atypical diabetes mellitus
ADN||Auditory disability with normal hearing
ADNFLE||Autosomal dominant nocturnal frontal lobe epilepsy
ADNFLE||Autosomal dominant nocturnal frontal lobe epilepsy, non
ADNFLE||Autosomal dominant nocturnal frontal lobe epilepsy, refractory
ADPKD||Autosomal dominant polycystic kidney disease
ADPKD||autosomal dominant polycystic kidney disease
ADR||Adverse drug reaction
ADS||Alcohol dependence scale
ADSD||autosomal dominant striatal neurodegeneration
ADT||Adenosine triphosphate
ADU||Acute duodenal ulcer
AE||Acid etch splinting of teeth
AE||Acid etch tooth restoration
AE||Acrodermatitis enteropathica
AEA||Above elbow amputation
AEC||Ankyloblepharon, ectodermal defects, cleft lip and palate
AEC||avian enteric calicivirus
AECA||Anti
AED||Accident and Emergency department
AEEG||Ambulatory EEG
AEF||Aryepiglottic fold
AEG||anophthalmia
AEP||Auditory evoked potentials
AEPOP||Application of above elbow plaster of Paris
AER||Auditory evoked responses
AER||agranular endoplasmic reticulum
AERD||aspirin exacerbated respiratory disease
AET||Acid etch tip tooth restoration
AF||Amaurosis fugax
AF||Amniotic fluid
AF||Atrial fibrillation
AF||Dental amalgam filling present
AF||Paroxysmal atrial fibrillation
AF||anterior fontanelle
AFB||Acid fast bacillus
AFC||acanthoma fissuratum cutis
AFE||Air fluid exchange
AFGE||Air fluid gas exchange
AFLP||Acute fatty liver of pregnancy
AFLP||acute fatty liver of pregnancy
AFM||acanthoma fissuratum of mucosa
AFP||Alpha
AFP||blood sent
AFX||Air fluid exchange
AFx||Amaurosis fugax
AG||Anion gap
AG||Atrophic gastritis
AGA||Anti
AGA||anti
AGBMAb||Anti
AGEP||acute generalised exanthematous pustulosis
AGEP||acute generalized exanthematous pustulosis
AGLT||Acidified glycerol lysis test
AGN||Acute glomerulonephritis
AGP||Alpha
AGP||alpha
AGW||Anogenital warts
AH||Adductor hallucis
AH||Alcoholic hepatitis
AH||Anterior horn
AHC||Acute haemorrhagic conjunctivitis
AHC||Acute hemorrhagic conjunctivitis
AHF||Argentinian haemorrhagic fever
AHF||Argentinian hemorrhagic fever
AHFV||Alkhurma hemorrhagic fever virus
AHG||Acute herpetic gingivostomatitis
AHGS||Acute herpetic gingivostomatitis
AHI||Apnea Hypopnea Index
AHO||Albright hereditary osteodystrophy
AHP||Allied Health Professional
AHTS||Adductovarus hammer toe syndrome
AI||Alcohol intake
AI||Amelogenesis imperfecta
AI||Aortic incompetence
AI||Artificial insemination
AIB||Abnormal illness behavior
AIB||Abnormal illness behaviour
AIB||Aminoisobutyric acid
AIC||Aicardi syndrome
AICA||Anterior inferior cerebellar artery
AID||Artificial insemination by donor
AIDS||Acquired immune deficiency synd
AIDS||Acquired immune deficiency syndrome dementia complex
AIDS||Acquired immunodeficiency syndrome
AIDS||Acquired immunodeficiency syndrome antibody test
AIDS||Congenital acquired immune deficiency syndrome
AIH||Artificial insemination by husband
AIHA||Autoimmune haemolytic anaemia
AIHA||Autoimmune hemolytic anemia
AIHA||Cold autoimmune haemolytic anaemia
AIHA||Cold autoimmune hemolytic anemia
AIHA||Warm autoimmune haemolytic anaemia
AIHA||Warm autoimmune hemolytic anemia
AIM||Activation inducer molecule
AIMS||Abnormal involuntary movement scale
AIMS||Arthritis impact measurement scale
AIMS2||Arthritis Impact Measurement Scales 2
AIN||Acute interstitial nephritis
AIN||Anal intraepithelial neoplasia
AION||Acute ischaemic optic neuropathy
AION||Acute ischemic optic neuropathy
AION||anterior ischaemic optic neuropathy
AION||anterior ischemic optic neuropathy
AIP||Acute intermittent porphyria
AIS||Abbreviated injury scale
AIS||Acceptance of illness scale
AIS||Adenocarcinoma in situ
AIS||Adenocarcinoma in situ of cervix
AJ||Ankle jerk
AK||Above knee femoral popliteal bypass graft
AK||Actinic keratosis
AK||Astigmatic keratotomy
AK||Thrombolysis of the above knee popliteal artery
AK||astigmatic keratotomy
AKA||Above knee amputation
AKP||Anterior knee pain
AKV||Acrokeratosis verruciformis
AL||Artificial limb
AL||Axial length
AL||Axial length of eye
ALA||5
ALA||5
ALA||Amebic liver abscess
ALA||Aminolaevulinic acid dehydratase deficiency porphyria
ALA||Aminolevulinic acid dehydratase deficiency porphyria
ALA||Amoebic liver abscess
ALA||Delta
ALA||Delta
ALA||delta
ALAT||Alanine aminotransferase
ALAT||alanine aminotransferase
ALD||Alcoholic liver disease
ALDB||aldolase B deficiency
ALDB||aldolose B deficiency
ALF||Acute liver failure
ALI||Acute lung injury
ALIF||Anterior lumbar interbody fusion
