CUI|name|file|TUI|STY
C0564823|Right LE pain|0034.concept|T184|Sign or Symptom
C0564823|R leg pain|0034.concept|T184|Sign or Symptom
C0564823|Right LE pain|0034.concept|T184|Sign or Symptom
C0030193|Pain|0034.concept|T184|Sign or Symptom
C0030193|Pain|0034.concept|T184|Sign or Symptom
C0030193|Pain|0034.concept|T184|Sign or Symptom
C0030193|the pain|0034.concept|T184|Sign or Symptom
C0030193|the pain|0034.concept|T184|Sign or Symptom
C0030193|pain|0034.concept|T184|Sign or Symptom
C0030193|pain|0034.concept|T184|Sign or Symptom
C0030193|painful|0034.concept|T184|Sign or Symptom
C0030193|pain|0038.concept|T184|Sign or Symptom
C0030193|pain|0038.concept|T184|Sign or Symptom
C0030193|The pain|0038.concept|T184|Sign or Symptom
C0030193|pain|0062.concept|T184|Sign or Symptom
C0030193|pain|0062.concept|T184|Sign or Symptom
C0030193|pain|0062.concept|T184|Sign or Symptom
C0030193|pain|0070.concept|T184|Sign or Symptom
C0030193|pain|0070.concept|T184|Sign or Symptom
C0030193|pain|0094.concept|T184|Sign or Symptom
C0030193|that pain|0094.concept|T184|Sign or Symptom
C0030193|pain|0098.concept|T184|Sign or Symptom
C0030193|the patient &apos;s pain|0098.concept|T184|Sign or Symptom
C0030193|pain|0098.concept|T184|Sign or Symptom
C0030193|the pain|0174.concept|T184|Sign or Symptom
C0030193|the pain|0174.concept|T184|Sign or Symptom
C0030193|The pain|0174.concept|T184|Sign or Symptom
C0030193|Pain|0278.concept|T184|Sign or Symptom
C0030193|pain|0318.concept|T184|Sign or Symptom
C0030193|pain|0358.concept|T184|Sign or Symptom
C0030193|pain|0428.concept|T184|Sign or Symptom
C0030193|the pain|0467.concept|T184|Sign or Symptom
C0030193|pain|0467.concept|T184|Sign or Symptom
C0030193|pain|0467.concept|T184|Sign or Symptom
C0030193|Pain|0468.concept|T184|Sign or Symptom
C0030193|Pain|0477.concept|T184|Sign or Symptom
C0030193|pain|0477.concept|T184|Sign or Symptom
C0030193|The patient &apos;s pain|101407944_PUMC.concept|T184|Sign or Symptom
C0030193|his pain|101407944_PUMC.concept|T184|Sign or Symptom
C0030193|pain|101407944_PUMC.concept|T184|Sign or Symptom
C0030193|the pain|105732749.concept|T184|Sign or Symptom
C0030193|pain|105732749.concept|T184|Sign or Symptom
C0030193|pain|433651389.concept|T184|Sign or Symptom
C0030193|painful|433651389.concept|T184|Sign or Symptom
C0030193|The pain|498710998.concept|T184|Sign or Symptom
C0030193|pain|622086964.concept|T184|Sign or Symptom
C0030193|this pain|638157550_SC.concept|T184|Sign or Symptom
C0030193|the pain|638157550_SC.concept|T184|Sign or Symptom
C0030193|Her pain|638157550_SC.concept|T184|Sign or Symptom
C0030193|pain|989519730_WGH.concept|T184|Sign or Symptom
C0030193|pain|989519730_WGH.concept|T184|Sign or Symptom
C0030193|pain|989519730_WGH.concept|T184|Sign or Symptom
C0018681|Headache|0034.concept|T184|Sign or Symptom
C0018681|Headache|0266.concept|T184|Sign or Symptom
C0018681|headache|0266.concept|T184|Sign or Symptom
C0018681|headache|0390.concept|T184|Sign or Symptom
C0018681|headache|101407944_PUMC.concept|T184|Sign or Symptom
C0018681|headache|101407944_PUMC.concept|T184|Sign or Symptom
C0018681|headache|156406283.concept|T184|Sign or Symptom
C0018681|headache|176318078_a.concept|T184|Sign or Symptom
C0204688|Temperature|0034.concept|T058|Health Care Activity
C0204688|Temp|0038.concept|T058|Health Care Activity
C0204688|temperature|0062.concept|T058|Health Care Activity
C0204688|The patient &apos;s temperature|0070.concept|T058|Health Care Activity
C0204688|his temperature|0090.concept|T058|Health Care Activity
C0204688|Temperature|0174.concept|T058|Health Care Activity
C0204688|temperature|0250.concept|T058|Health Care Activity
C0204688|T|0266.concept|T058|Health Care Activity
C0204688|T|0278.concept|T058|Health Care Activity
C0204688|temperature|0334.concept|T058|Health Care Activity
C0204688|Her temperature|0358.concept|T058|Health Care Activity
C0204688|temp|0428.concept|T058|Health Care Activity
C0204688|Temperature|0461.concept|T058|Health Care Activity
C0204688|a temperature|0467.concept|T058|Health Care Activity
C0204688|T|0468.concept|T058|Health Care Activity
C0204688|The patient &apos;s temperature|0476.concept|T058|Health Care Activity
C0204688|Temperature|284487129.concept|T058|Health Care Activity
C0204688|Temperature|320422564.concept|T058|Health Care Activity
C0204688|temperature|433651389.concept|T058|Health Care Activity
C0204688|temperature|517414339.concept|T058|Health Care Activity
C0204688|His temperature|723989226.concept|T058|Health Care Activity
C0030049|OXYCODONE|0034.concept|T109|Organic Chemical
C0030049|OXYCODONE|0034.concept|T121|Pharmacologic Substance
C0030049|Oxycodone|0477.concept|T109|Organic Chemical
C0030049|Oxycodone|0477.concept|T121|Pharmacologic Substance
C0030049|the Oxycodone|0477.concept|T109|Organic Chemical
C0030049|the Oxycodone|0477.concept|T121|Pharmacologic Substance
C0030049|Oxycodone|0477.concept|T109|Organic Chemical
C0030049|Oxycodone|0477.concept|T121|Pharmacologic Substance
C0262580|NKA|0034.concept|T033|Finding
C0262580|No Known Allergies|0214.concept|T033|Finding
C0262580|NKA|0266.concept|T033|Finding
C0262580|No Known Allergies|0468.concept|T033|Finding
C0011849|DM|0034.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|0062.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|0362.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|0370.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|0370.concept|T047|Disease or Syndrome
C0011849|Diabetes mellitus|0390.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|0390.concept|T047|Disease or Syndrome
C0011849|his diabetes mellitus|0390.concept|T047|Disease or Syndrome
C0011849|DIABETES MELLITUS|0461.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|0467.concept|T047|Disease or Syndrome
C0011849|diabetes|101407944_PUMC.concept|T047|Disease or Syndrome
C0011849|diabetes|101407944_PUMC.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|156406283.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|156406283.concept|T047|Disease or Syndrome
C0011849|diabetes mellitus|156406283.concept|T047|Disease or Syndrome
C0011849|diabetes|176318078_a.concept|T047|Disease or Syndrome
C0011849|diabetes|498710998.concept|T047|Disease or Syndrome
C0554740|Pelvis XR|0034.concept|T060|Diagnostic Procedure
C0033213|this problem|0034.concept|T033|Finding
C0033213|this problem|0477.concept|T033|Finding
C0033213|problems|320422564.concept|T033|Finding
C1261311|a steroid injection|0034.concept|T061|Therapeutic or Preventive Procedure
C0028643|numbness|0034.concept|T184|Sign or Symptom
C0028643|numbness|101407944_PUMC.concept|T184|Sign or Symptom
C0028643|numb|156406283.concept|T184|Sign or Symptom
C3714552|weakness|0034.concept|T184|Sign or Symptom
C3714552|weakness|0334.concept|T184|Sign or Symptom
C3714552|her weakness|0334.concept|T184|Sign or Symptom
C3714552|weakness|0334.concept|T184|Sign or Symptom
C3714552|weakness|0334.concept|T184|Sign or Symptom
C3714552|weakness|0461.concept|T184|Sign or Symptom
C3714552|weakness|101407944_PUMC.concept|T184|Sign or Symptom
C3714552|weakness|101407944_PUMC.concept|T184|Sign or Symptom
C3714552|weakness|101407944_PUMC.concept|T184|Sign or Symptom
C0015967|fever|0034.concept|T184|Sign or Symptom
C0015967|fevers|0034.concept|T184|Sign or Symptom
C0015967|fevers|0038.concept|T184|Sign or Symptom
C0015967|fevers|0038.concept|T184|Sign or Symptom
C0015967|the patient &apos;s fever|0038.concept|T184|Sign or Symptom
C0015967|fever|0038.concept|T184|Sign or Symptom
C0015967|fever|0062.concept|T184|Sign or Symptom
C0015967|a fever|0062.concept|T184|Sign or Symptom
C0015967|fever|0090.concept|T184|Sign or Symptom
C0015967|fever|0090.concept|T184|Sign or Symptom
C0015967|fever|0090.concept|T184|Sign or Symptom
C0015967|fevers|0098.concept|T184|Sign or Symptom
C0015967|fever|0098.concept|T184|Sign or Symptom
C0015967|fever|0174.concept|T184|Sign or Symptom
